source,term_name,term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:BP,regulation of cell population proliferation,GO:0042127,FALSE,5.39E-15,14.26868608,1682,54,29,21110,"BCL2,CDK4,PDCD4,MYCN,CCND3,PTEN,CCNE1,E2F3,SIRT1,BTG2,NOTCH1,ADAM17,E2F1,BMP7,BAX,CDKN2A,MMP2,VEGFA,MMP9,STAT3,KLF4,KCNH1,CXCL10,TGFB1,SIRT2,FOXP3,KDR,IL1B,KRAS"
GO:BP,negative regulation of cell differentiation,GO:0045596,FALSE,1.34E-14,13.8744931,679,54,21,21110,"CDH1,MYB,PDCD4,MYCN,PTEN,SIRT1,BTG2,NOTCH1,E2F1,BMP7,CDKN2A,VEGFA,MMP9,STAT3,CXCL10,TGFB1,SIRT2,FOXP3,IL1B,PPARA,KRAS"
GO:BP,response to abiotic stimulus,GO:0009628,FALSE,1.39E-14,13.8565643,1146,54,25,21110,"BCL2,CDC25A,PTEN,SIRT1,BTG2,NOTCH1,CCNG1,ADAM17,E2F1,BMP7,CD34,BAX,MMP2,VEGFA,MMP9,CYBB,CXCL10,TGFB1,SIRT2,MAP3K14,PER1,FOXP3,IL1B,PPARA,KRAS"
GO:BP,negative regulation of developmental process,GO:0051093,FALSE,2.85E-14,13.54465404,927,54,23,21110,"CDH1,BCL2,MYB,PDCD4,MYCN,PTEN,SIRT1,BTG2,NOTCH1,E2F1,BMP7,CDKN2A,VEGFA,MMP9,STAT3,KLF4,CXCL10,TGFB1,SIRT2,FOXP3,IL1B,PPARA,KRAS"
GO:BP,response to organonitrogen compound,GO:0010243,TRUE,3.53E-14,13.45206219,1060,54,24,21110,"CDH1,BCL2,CDK4,CCND3,SIRT1,BTG2,NOTCH1,CCNG1,BCL2L2,PEA15,BMP7,VIM,HPRT1,MMP2,MMP9,ELAVL4,STAT3,CYBB,TGFB1,SIRT2,PER1,FOXP3,IL1B,PPARA"
GO:BP,cell development,GO:0048468,FALSE,3.60E-14,13.44356148,2763,54,34,21110,"CDH1,GRM7,BCL2,MYB,MET,PDCD4,RAB21,MYCN,PTEN,SIRT1,BTG2,NOTCH1,ADAM17,E2F1,BMP7,VIM,CD34,BAX,HPRT1,CDKN2A,MMP2,VEGFA,MMP9,ELAVL4,STAT3,KLF4,TGFB1,SIRT2,FOXP3,STAU1,KDR,IL1B,PPARA,KRAS"
GO:BP,regulation of programmed cell death,GO:0043067,FALSE,4.20E-14,13.37694602,1491,54,27,21110,"BCL2,MET,PDCD4,PTEN,E2F3,SIRT1,BTG2,NOTCH1,CCNG1,ADAM17,BCL2L2,PEA15,E2F1,BMP7,BAX,CDKN2A,MMP2,VEGFA,MMP9,KLF4,CXCL10,TGFB1,SIRT2,KDR,IL1B,PPARA,KRAS"
GO:BP,response to nitrogen compound,GO:1901698,FALSE,1.70E-13,12.76995399,1136,54,24,21110,"CDH1,BCL2,CDK4,CCND3,SIRT1,BTG2,NOTCH1,CCNG1,BCL2L2,PEA15,BMP7,VIM,HPRT1,MMP2,MMP9,ELAVL4,STAT3,CYBB,TGFB1,SIRT2,PER1,FOXP3,IL1B,PPARA"
GO:BP,regulation of apoptotic process,GO:0042981,FALSE,3.22E-13,12.4920458,1459,54,26,21110,"BCL2,PDCD4,PTEN,E2F3,SIRT1,BTG2,NOTCH1,CCNG1,ADAM17,BCL2L2,PEA15,E2F1,BMP7,BAX,CDKN2A,MMP2,VEGFA,MMP9,KLF4,CXCL10,TGFB1,SIRT2,KDR,IL1B,PPARA,KRAS"
GO:BP,response to oxygen-containing compound,GO:1901700,FALSE,3.89E-13,12.40951591,1796,54,28,21110,"CDH1,BCL2,MET,CDK4,PDCD4,CCND3,SIRT1,BTG2,NOTCH1,ADAM17,BCL2L2,E2F1,BMP7,VIM,MMP2,MMP9,ELAVL4,STAT3,KLF4,KCNH1,CYBB,CXCL10,TGFB1,SIRT2,PER1,FOXP3,IL1B,PPARA"
GO:BP,response to organic substance,GO:0010033,FALSE,6.48E-13,12.1881798,2809,54,33,21110,"CDH1,BCL2,MET,CDK4,PDCD4,CCND3,SIRT1,BTG2,NOTCH1,CCNG1,ADAM17,BCL2L2,PEA15,E2F1,BMP7,VIM,BAX,HPRT1,MMP2,MMP9,ELAVL4,STAT3,KLF4,KCNH1,CYBB,CXCL10,TGFB1,SIRT2,PER1,S100P,FOXP3,IL1B,PPARA"
GO:BP,positive regulation of cellular process,GO:0048522,FALSE,1.23E-12,11.91006101,5615,54,43,21110,"CDH1,BCL2,MYB,MET,CDK4,PDCD4,RAB21,MYCN,CCND3,CDC25A,PTEN,CCNE1,E2F3,SIRT1,BTG2,NOTCH1,ADAM17,PEA15,E2F1,BMP7,VIM,CD34,BAX,HPRT1,CDKN2A,MMP2,VEGFA,MMP9,ELAVL4,STAT3,KLF4,CXCL10,TGFB1,SIRT2,MAP3K14,PER1,EIF5A2,FOXP3,STAU1,KDR,IL1B,PPARA,KRAS"
GO:BP,regulation of multicellular organismal development,GO:2000026,FALSE,1.71E-12,11.76609886,1407,54,25,21110,"CDH1,MYB,RAB21,MYCN,PTEN,SIRT1,BTG2,NOTCH1,E2F1,BMP7,CD34,CDKN2A,VEGFA,MMP9,STAT3,KLF4,CYBB,CXCL10,TGFB1,SIRT2,FOXP3,KDR,IL1B,PPARA,KRAS"
GO:BP,regulation of cell differentiation,GO:0045595,FALSE,1.83E-12,11.73647608,1568,54,26,21110,"CDH1,BCL2,MYB,PDCD4,RAB21,MYCN,PTEN,SIRT1,BTG2,NOTCH1,E2F1,BMP7,CD34,CDKN2A,VEGFA,MMP9,STAT3,KLF4,CXCL10,TGFB1,SIRT2,FOXP3,KDR,IL1B,PPARA,KRAS"
GO:BP,negative regulation of cellular process,GO:0048523,FALSE,2.39E-12,11.62165388,4753,54,40,21110,"CDH1,GRM7,BCL2,MYB,MET,PDCD4,MYCN,CCND3,PTEN,CCNE1,E2F3,SIRT1,BTG2,NOTCH1,CCNG1,ADAM17,TGIF1,BCL2L2,PEA15,E2F1,BMP7,VIM,CD34,BAX,CDKN2A,MMP2,VEGFA,MMP9,ELAVL4,STAT3,KLF4,CXCL10,TGFB1,SIRT2,PER1,FOXP3,KDR,IL1B,PPARA,KRAS"
GO:BP,cell death,GO:0008219,FALSE,3.01E-12,11.52124484,2129,54,29,21110,"BCL2,MET,PDCD4,MYCN,PTEN,E2F3,SIRT1,BTG2,NOTCH1,CCNG1,ADAM17,BCL2L2,PEA15,E2F1,BMP7,CD34,BAX,CDKN2A,MMP2,VEGFA,MMP9,KLF4,CXCL10,TGFB1,SIRT2,KDR,IL1B,PPARA,KRAS"
GO:BP,response to chemical,GO:0042221,FALSE,1.42E-11,10.84711386,4124,54,37,21110,"CDH1,BCL2,MET,CDK4,PDCD4,CCND3,SIRT1,BTG2,NOTCH1,CCNG1,ADAM17,BCL2L2,PEA15,E2F1,BMP7,VIM,CD34,BAX,HPRT1,MMP2,VEGFA,MMP9,ELAVL4,STAT3,KLF4,KCNH1,CYBB,CXCL10,TGFB1,SIRT2,PER1,S100P,FOXP3,STAU1,KDR,IL1B,PPARA"
GO:BP,animal organ development,GO:0048513,FALSE,1.61E-11,10.79267124,3128,54,33,21110,"CDH1,BCL2,MET,CDK4,PDCD4,MYCN,PTEN,SIRT1,BTG2,NOTCH1,CCNG1,ADAM17,BCL2L2,E2F1,BMP7,VIM,XRN2,CD34,BAX,HPRT1,MMP2,VEGFA,MMP9,ELAVL4,STAT3,KLF4,CXCL10,TGFB1,SIRT2,KDR,IL1B,PPARA,KRAS"
GO:BP,positive regulation of biological process,GO:0048518,FALSE,1.65E-11,10.78378856,6358,54,44,21110,"CDH1,BCL2,MYB,MET,CDK4,PDCD4,RAB21,MYCN,CCND3,CDC25A,PTEN,CCNE1,E2F3,SIRT1,BTG2,NOTCH1,ADAM17,PEA15,E2F1,BMP7,VIM,CD34,BAX,HPRT1,CDKN2A,MMP2,VEGFA,MMP9,ELAVL4,STAT3,KLF4,CYBB,CXCL10,TGFB1,SIRT2,MAP3K14,PER1,EIF5A2,FOXP3,STAU1,KDR,IL1B,PPARA,KRAS"
GO:BP,response to endogenous stimulus,GO:0009719,FALSE,1.68E-11,10.77459883,1720,54,26,21110,"CDH1,BCL2,CDK4,PDCD4,CCND3,FMOD,SIRT1,BTG2,NOTCH1,ADAM17,BCL2L2,E2F1,BMP7,VIM,MMP2,VEGFA,ELAVL4,STAT3,KLF4,CYBB,TGFB1,SIRT2,PER1,KDR,IL1B,PPARA"
GO:BP,regulation of developmental process,GO:0050793,FALSE,1.84E-11,10.73565665,2482,54,30,21110,"CDH1,BCL2,MYB,CDK4,PDCD4,RAB21,MYCN,PTEN,SIRT1,BTG2,NOTCH1,E2F1,BMP7,CD34,BAX,CDKN2A,VEGFA,MMP9,ELAVL4,STAT3,KLF4,CYBB,CXCL10,TGFB1,SIRT2,FOXP3,KDR,IL1B,PPARA,KRAS"
GO:BP,programmed cell death,GO:0012501,FALSE,3.87E-11,10.41178709,1961,54,27,21110,"BCL2,MET,PDCD4,PTEN,E2F3,SIRT1,BTG2,NOTCH1,CCNG1,ADAM17,BCL2L2,PEA15,E2F1,BMP7,BAX,CDKN2A,MMP2,VEGFA,MMP9,KLF4,CXCL10,TGFB1,SIRT2,KDR,IL1B,PPARA,KRAS"
GO:BP,system development,GO:0048731,FALSE,4.15E-11,10.38148859,3987,54,36,21110,"CDH1,GRM7,BCL2,MET,PDCD4,RAB21,MYCN,PTEN,SIRT1,BTG2,NOTCH1,CCNG1,ADAM17,BCL2L2,E2F1,BMP7,VIM,XRN2,CD34,BAX,HPRT1,MMP2,VEGFA,MMP9,ELAVL4,STAT3,KLF4,CYBB,CXCL10,TGFB1,SIRT2,FOXP3,KDR,IL1B,PPARA,KRAS"
GO:BP,regulation of cellular metabolic process,GO:0031323,FALSE,5.03E-11,10.29863822,5493,54,41,21110,"CDH1,BCL2,MYB,MET,CDK4,PDCD4,MYCN,CCND3,CDC25A,PTEN,CCNE1,E2F3,SIRT1,BTG2,NOTCH1,CCNG1,ADAM17,TGIF1,E2F1,BMP7,VIM,CD34,BAX,HPRT1,CDKN2A,VEGFA,MMP9,ELAVL4,STAT3,KLF4,CXCL10,TGFB1,SIRT2,PER1,EIF5A2,FOXP3,SRSF1,KDR,IL1B,PPARA,KRAS"
GO:BP,regulation of multicellular organismal process,GO:0051239,FALSE,5.24E-11,10.2806494,3021,54,32,21110,"CDH1,BCL2,MYB,MET,CDK4,PDCD4,RAB21,MYCN,PTEN,SIRT1,BTG2,NOTCH1,ADAM17,E2F1,BMP7,CD34,CDKN2A,MMP2,VEGFA,MMP9,STAT3,KLF4,CYBB,CXCL10,TGFB1,SIRT2,PER1,FOXP3,KDR,IL1B,PPARA,KRAS"
GO:BP,cellular response to endogenous stimulus,GO:0071495,FALSE,5.30E-11,10.27549807,1469,54,24,21110,"CDH1,CDK4,PDCD4,CCND3,FMOD,SIRT1,NOTCH1,ADAM17,BCL2L2,E2F1,BMP7,VIM,MMP2,VEGFA,ELAVL4,STAT3,KLF4,CYBB,TGFB1,SIRT2,PER1,KDR,IL1B,PPARA"
GO:BP,cell differentiation,GO:0030154,FALSE,6.50E-11,10.18705938,4318,54,37,21110,"CDH1,GRM7,BCL2,MYB,MET,PDCD4,RAB21,MYCN,PTEN,SIRT1,BTG2,NOTCH1,ADAM17,E2F1,BMP7,VIM,XRN2,CD34,BAX,HPRT1,CDKN2A,MMP2,VEGFA,MMP9,ELAVL4,STAT3,KLF4,KCNH1,CXCL10,TGFB1,SIRT2,FOXP3,STAU1,KDR,IL1B,PPARA,KRAS"
GO:BP,positive regulation of macromolecule metabolic process,GO:0010604,FALSE,7.15E-11,10.14579494,3535,54,34,21110,"CDH1,BCL2,MYB,MET,MYCN,CCND3,PTEN,E2F3,SIRT1,BTG2,NOTCH1,ADAM17,E2F1,BMP7,VIM,CD34,BAX,CDKN2A,VEGFA,MMP9,ELAVL4,STAT3,KLF4,CYBB,CXCL10,TGFB1,SIRT2,PER1,EIF5A2,FOXP3,KDR,IL1B,PPARA,KRAS"
GO:BP,response to lipid,GO:0033993,FALSE,7.55E-11,10.12220414,916,54,20,21110,"BCL2,CDK4,PDCD4,SIRT1,NOTCH1,ADAM17,BCL2L2,E2F1,BMP7,VIM,MMP2,STAT3,KLF4,CYBB,CXCL10,TGFB1,PER1,FOXP3,IL1B,PPARA"
GO:BP,cellular developmental process,GO:0048869,FALSE,7.92E-11,10.10121881,4344,54,37,21110,"CDH1,GRM7,BCL2,MYB,MET,PDCD4,RAB21,MYCN,PTEN,SIRT1,BTG2,NOTCH1,ADAM17,E2F1,BMP7,VIM,XRN2,CD34,BAX,HPRT1,CDKN2A,MMP2,VEGFA,MMP9,ELAVL4,STAT3,KLF4,KCNH1,CXCL10,TGFB1,SIRT2,FOXP3,STAU1,KDR,IL1B,PPARA,KRAS"
GO:BP,multicellular organism development,GO:0007275,FALSE,9.66E-11,10.01518066,4658,54,38,21110,"CDH1,GRM7,BCL2,MYB,MET,PDCD4,RAB21,MYCN,PTEN,SIRT1,BTG2,NOTCH1,CCNG1,ADAM17,BCL2L2,E2F1,BMP7,VIM,XRN2,CD34,BAX,HPRT1,CDKN2A,MMP2,VEGFA,MMP9,ELAVL4,STAT3,KLF4,CYBB,CXCL10,TGFB1,SIRT2,FOXP3,KDR,IL1B,PPARA,KRAS"
GO:BP,response to organic cyclic compound,GO:0014070,FALSE,1.11E-10,9.955197575,935,54,20,21110,"CDH1,BCL2,CDK4,SIRT1,BTG2,NOTCH1,BCL2L2,PEA15,BMP7,MMP2,ELAVL4,STAT3,CYBB,CXCL10,TGFB1,SIRT2,PER1,FOXP3,IL1B,PPARA"
GO:BP,positive regulation of metabolic process,GO:0009893,FALSE,1.15E-10,9.940535479,3848,54,35,21110,"CDH1,BCL2,MYB,MET,MYCN,CCND3,PTEN,E2F3,SIRT1,BTG2,NOTCH1,ADAM17,E2F1,BMP7,VIM,CD34,BAX,HPRT1,CDKN2A,VEGFA,MMP9,ELAVL4,STAT3,KLF4,CYBB,CXCL10,TGFB1,SIRT2,PER1,EIF5A2,FOXP3,KDR,IL1B,PPARA,KRAS"
GO:BP,regulation of mitotic cell cycle,GO:0007346,FALSE,1.27E-10,9.895432092,495,54,16,21110,"BCL2,CDK4,CCND3,CDC25A,PTEN,SIRT1,BTG2,CCNG1,ADAM17,E2F1,BMP7,CDKN2A,KLF4,TGFB1,SIRT2,IL1B"
GO:BP,positive regulation of nitrogen compound metabolic process,GO:0051173,FALSE,1.46E-10,9.83712247,3131,54,32,21110,"CDH1,BCL2,MYB,MET,MYCN,CCND3,PTEN,E2F3,SIRT1,BTG2,NOTCH1,ADAM17,E2F1,BMP7,VIM,BAX,HPRT1,CDKN2A,VEGFA,MMP9,STAT3,KLF4,CXCL10,TGFB1,SIRT2,PER1,EIF5A2,FOXP3,KDR,IL1B,PPARA,KRAS"
GO:BP,regulation of nitrogen compound metabolic process,GO:0051171,FALSE,1.53E-10,9.816402067,5662,54,41,21110,"CDH1,BCL2,MYB,MET,CDK4,PDCD4,MYCN,CCND3,CDC25A,PTEN,CCNE1,E2F3,SIRT1,BTG2,NOTCH1,CCNG1,ADAM17,TGIF1,E2F1,BMP7,VIM,CD34,BAX,HPRT1,CDKN2A,VEGFA,MMP9,ELAVL4,STAT3,KLF4,CXCL10,TGFB1,SIRT2,PER1,EIF5A2,FOXP3,SRSF1,KDR,IL1B,PPARA,KRAS"
GO:BP,positive regulation of cell population proliferation,GO:0008284,FALSE,1.65E-10,9.783366024,955,54,20,21110,"BCL2,CDK4,MYCN,PTEN,CCNE1,E2F3,SIRT1,NOTCH1,ADAM17,E2F1,MMP2,VEGFA,MMP9,STAT3,CXCL10,TGFB1,FOXP3,KDR,IL1B,KRAS"
GO:BP,central nervous system development,GO:0007417,FALSE,1.71E-10,9.767648002,1092,54,21,21110,"CDH1,BCL2,MYCN,PTEN,BTG2,NOTCH1,CCNG1,BCL2L2,E2F1,BMP7,VIM,XRN2,BAX,HPRT1,ELAVL4,STAT3,TGFB1,SIRT2,FOXP3,IL1B,KRAS"
GO:BP,apoptotic process,GO:0006915,FALSE,1.89E-10,9.72453993,1905,54,26,21110,"BCL2,PDCD4,PTEN,E2F3,SIRT1,BTG2,NOTCH1,CCNG1,ADAM17,BCL2L2,PEA15,E2F1,BMP7,BAX,CDKN2A,MMP2,VEGFA,MMP9,KLF4,CXCL10,TGFB1,SIRT2,KDR,IL1B,PPARA,KRAS"
GO:BP,cellular response to chemical stimulus,GO:0070887,FALSE,2.21E-10,9.656080177,2722,54,30,21110,"CDH1,BCL2,MET,CDK4,PDCD4,CCND3,SIRT1,NOTCH1,ADAM17,BCL2L2,E2F1,BMP7,VIM,CD34,BAX,MMP2,VEGFA,MMP9,STAT3,KLF4,KCNH1,CYBB,CXCL10,TGFB1,SIRT2,PER1,STAU1,KDR,IL1B,PPARA"
GO:BP,positive regulation of cellular metabolic process,GO:0031325,FALSE,2.94E-10,9.531082351,2976,54,31,21110,"CDH1,BCL2,MYB,MET,MYCN,CCND3,E2F3,SIRT1,BTG2,NOTCH1,ADAM17,E2F1,BMP7,VIM,BAX,HPRT1,CDKN2A,VEGFA,MMP9,STAT3,KLF4,CXCL10,TGFB1,SIRT2,PER1,EIF5A2,FOXP3,KDR,IL1B,PPARA,KRAS"
GO:BP,cellular response to stress,GO:0033554,FALSE,3.22E-10,9.491679973,1949,54,26,21110,"BCL2,MET,PDCD4,PTEN,SIRT1,BTG2,NOTCH1,CCNG1,BCL2L2,E2F1,BMP7,CD34,BAX,CDKN2A,MMP2,VEGFA,MMP9,ELAVL4,KLF4,CYBB,CXCL10,SIRT2,PER1,STAU1,IL1B,PPARA"
GO:BP,response to hypoxia,GO:0001666,FALSE,5.55E-10,9.255992172,286,54,13,21110,"BCL2,SIRT1,NOTCH1,ADAM17,E2F1,BMP7,CD34,MMP2,VEGFA,CYBB,TGFB1,SIRT2,PPARA"
GO:BP,negative regulation of cellular metabolic process,GO:0031324,FALSE,5.97E-10,9.224381509,2194,54,27,21110,"BCL2,MYB,MET,PDCD4,MYCN,CCND3,PTEN,CCNE1,SIRT1,BTG2,NOTCH1,TGIF1,E2F1,BMP7,CD34,BAX,CDKN2A,VEGFA,ELAVL4,STAT3,KLF4,TGFB1,SIRT2,PER1,FOXP3,IL1B,PPARA"
GO:BP,tissue development,GO:0009888,FALSE,6.48E-10,9.188628772,2008,54,26,21110,"BCL2,MET,CDK4,PDCD4,MYCN,PTEN,SIRT1,BTG2,NOTCH1,ADAM17,BMP7,VIM,CD34,BAX,MMP2,VEGFA,MMP9,KLF4,CXCL10,TGFB1,SIRT2,FOXP3,KDR,IL1B,PPARA,KRAS"
GO:BP,anatomical structure development,GO:0048856,FALSE,6.67E-10,9.175906581,5896,54,41,21110,"CDH1,GRM7,BCL2,MYB,MET,CDK4,PDCD4,RAB21,MYCN,PTEN,SIRT1,BTG2,NOTCH1,CCNG1,ADAM17,BCL2L2,E2F1,BMP7,VIM,XRN2,CD34,BAX,HPRT1,CDKN2A,MMP2,VEGFA,MMP9,ELAVL4,STAT3,KLF4,KCNH1,CYBB,CXCL10,TGFB1,SIRT2,FOXP3,STAU1,KDR,IL1B,PPARA,KRAS"
GO:BP,negative regulation of biological process,GO:0048519,FALSE,8.32E-10,9.080040865,5932,54,41,21110,"CDH1,GRM7,BCL2,MYB,MET,PDCD4,MYCN,CCND3,PTEN,CCNE1,E2F3,SIRT1,BTG2,NOTCH1,CCNG1,ADAM17,TGIF1,BCL2L2,PEA15,E2F1,BMP7,VIM,XRN2,CD34,BAX,CDKN2A,MMP2,VEGFA,MMP9,ELAVL4,STAT3,KLF4,CXCL10,TGFB1,SIRT2,PER1,FOXP3,KDR,IL1B,PPARA,KRAS"
GO:BP,response to decreased oxygen levels,GO:0036293,FALSE,9.77E-10,9.010020761,299,54,13,21110,"BCL2,SIRT1,NOTCH1,ADAM17,E2F1,BMP7,CD34,MMP2,VEGFA,CYBB,TGFB1,SIRT2,PPARA"
GO:BP,mitotic cell cycle,GO:0000278,FALSE,1.09E-09,8.960667924,922,54,19,21110,"BCL2,MYB,CDK4,CCND3,CDC25A,PTEN,CCNE1,E2F3,SIRT1,BTG2,CCNG1,ADAM17,E2F1,BMP7,CDKN2A,KLF4,TGFB1,SIRT2,IL1B"
GO:BP,neurogenesis,GO:0022008,FALSE,1.38E-09,8.861423998,1705,54,24,21110,"CDH1,GRM7,BCL2,MET,RAB21,MYCN,PTEN,BTG2,NOTCH1,E2F1,BMP7,VIM,XRN2,BAX,HPRT1,MMP2,VEGFA,ELAVL4,STAT3,KLF4,TGFB1,SIRT2,IL1B,KRAS"
GO:BP,regulation of protein metabolic process,GO:0051246,FALSE,1.66E-09,8.781008024,2496,54,28,21110,"CDH1,BCL2,PDCD4,CCND3,CDC25A,PTEN,CCNE1,SIRT1,BTG2,CCNG1,ADAM17,BMP7,VIM,BAX,CDKN2A,VEGFA,MMP9,ELAVL4,STAT3,KLF4,TGFB1,SIRT2,PER1,EIF5A2,FOXP3,KDR,IL1B,KRAS"
GO:BP,anatomical structure morphogenesis,GO:0009653,FALSE,1.66E-09,8.779898857,2712,54,29,21110,"CDH1,BCL2,MET,PDCD4,RAB21,MYCN,PTEN,SIRT1,NOTCH1,CCNG1,ADAM17,BMP7,CD34,BAX,HPRT1,MMP2,VEGFA,MMP9,ELAVL4,STAT3,KLF4,KCNH1,CYBB,CXCL10,TGFB1,KDR,IL1B,PPARA,KRAS"
GO:BP,positive regulation of cell death,GO:0010942,FALSE,1.86E-09,8.729656621,590,54,16,21110,"BCL2,PDCD4,MYCN,PTEN,E2F3,SIRT1,NOTCH1,PEA15,E2F1,BMP7,BAX,CDKN2A,MMP2,MMP9,TGFB1,SIRT2"
